iter	Passed	Remaining
791	5091	1337
792	5097	1330
793	5104	1324
794	5111	1317
795	5117	1311
796	5124	1305
797	5130	1298
798	5137	1292
799	5143	1285
800	5150	1279
801	5156	1273
802	5163	1266
803	5169	1260
804	5176	1253
805	5182	1247
806	5188	1240
807	5194	1234
808	5200	1227
809	5207	1221
810	5213	1215
811	5220	1208
812	5226	1202
813	5233	1195
814	5241	1189
815	5248	1183
816	5254	1176
817	5261	1170
818	5267	1164
819	5274	1157
820	5280	1151
821	5287	1144
822	5293	1138
823	5299	1131
824	5305	1125
825	5312	1119
826	5318	1112
827	5324	1106
828	5330	1099
829	5336	1093
830	5342	1086
831	5348	1080
832	5354	1073
833	5360	1066
834	5366	1060
835	5372	1053
836	5378	1047
837	5384	1040
838	5390	1034
839	5397	1028
840	5403	1021
841	5409	1015
842	5415	1008
843	5421	1002
844	5427	995
845	5434	989
846	5440	982
847	5446	976
848	5452	969
849	5458	963
850	5464	956
851	5471	950
852	5477	943
853	5483	937
854	5489	930
855	5496	924
856	5502	918
857	5509	911
858	5515	905
859	5521	898
860	5527	892
861	5533	885
862	5539	879
863	5545	872
864	5552	866
865	5558	860
866	5564	853
867	5570	847
868	5576	840
869	5583	834
870	5589	827
871	5595	821
872	5601	814
873	5607	808
874	5613	801
875	5620	795
876	5626	789
877	5634	782
878	5640	776
879	5646	769
880	5652	763
881	5658	757
882	5664	750
883	5670	744
884	5676	737
885	5682	731
886	5688	724
887	5694	718
888	5701	711
889	5707	705
890	5713	698
891	5719	692
892	5725	686
893	5731	679
894	5737	673
895	5743	666
896	5750	660
897	5756	653
898	5763	647
899	5769	641
900	5775	634
901	5781	628
902	5787	621
903	5793	615
904	5799	608
905	5806	602
906	5812	595
907	5818	589
908	5824	583
909	5830	576
910	5836	570
911	5842	563
912	5848	557
913	5854	550
914	5860	544
915	5867	538
916	5873	531
917	5880	525
918	5886	518
919	5892	512
920	5898	505
921	5904	499
922	5910	493
923	5917	486
924	5923	480
925	5929	473
926	5935	467
927	5941	460
928	5947	454
929	5953	448
930	5959	441
931	5965	435
932	5971	428
933	5977	422
934	5983	415
935	5989	409
936	5995	403
937	6001	396
938	6008	390
939	6014	383
940	6020	377
941	6027	371
942	6033	364
943	6039	358
944	6045	351
945	6051	345
946	6059	339
947	6066	332
948	6076	326
949	6082	320
950	6088	313
951	6094	307
952	6100	300
953	6106	294
954	6113	288
955	6119	281
956	6125	275
957	6131	268
958	6137	262
959	6143	255
960	6150	249
961	6156	243
962	6162	236
963	6168	230
964	6174	223
965	6180	217
966	6186	211
967	6192	204
968	6199	198
969	6205	191
970	6211	185
971	6217	179
972	6223	172
973	6229	166
974	6235	159
975	6241	153
976	6247	147
977	6253	140
978	6260	134
979	6267	127
980	6273	121
981	6280	115
982	6287	108
983	6294	102
984	6300	95
985	6307	89
986	6314	83
987	6320	76
988	6327	70
989	6333	63
990	6339	57
991	6346	51
992	6352	44
993	6360	38
994	6367	31
995	6374	25
996	6381	19
997	6388	12
998	6395	6
999	6401	0
